disbursed,via,cur,amount,value,recipient,purpose
2020-12-04,SFF,USD,"37,000","$37,000",The Future Society,General support
2020-12-05,Solenum,EUR,"1,864","$2,266",Solenum (costs),M&G
2020-12-08,FP-UK,USD,"15,000","$15,000",Columbia University,To support Claudia Shi's work in AI safety during her PHD at Columbia
2020-12-08,FP-US,USD,"20,000","$20,000",Association for the Advancement of Artificial Intelligence,"General support for AAAI/ACM Conference on Artificial Intelligence, Ethics and Society"
2020-12-08,FP-US,USD,"39,000","$39,000",Center for Applied Rationality,General support
2020-12-08,FP-US,USD,"74,000","$74,000",Convergence Analysis,General support for Modeling Cooperation
2020-12-08,SFP,USD,"14,402","$14,402",Nicolas Moes,"General supporting community-, skills- and field-building on European governance for AGI-related, global catastrophic and existential risks"
2020-12-08,SFP,USD,"4,873","$4,873",Paul Knott,Transitioning from quantum physics into AI alignment research
2020-12-08,SFP,USD,"66,000","$66,000",Rumtin Sepasspour,Improving the capability of existential and global catastrophic risk researchers to engage and inform government policy
2020-12-09,SFP,USD,"6,240","$6,240",Benjamin David Harack,Developing a rational actor bargaining model of technology races with existential risk
2020-12-10,SFP,USD,"17,500","$17,500",Fırat Akova,Exploring effective institution designs and considering representation of future generations in present-day institutions
2020-12-11,FP-US,USD,"21,000","$21,000",Centre for Effective Altruism,Jason Crawford / Roots of Progress
2020-12-14,SFP,USD,"19,200","$19,200",Patrick Butlin,Researching the philosophy of human values and AI alignment
2020-12-15,SFP,USD,"41,353","$41,353",David Janků,Continuing the development of https://effectivethesis.org/
2020-12-16,FP-US,USD,"20,000","$20,000","80,000 Hours",General support
2020-12-17,FP-US,USD,"563,000","$563,000",Machine Intelligence Research Institute,General support
2020-12-23,FP-US,USD,"98,000","$98,000",Median Group,General support
2020-12-23,FP-US,USD,"57,000","$57,000",Rethink Priorities,General support
2020-12-30,SFF,USD,"37,000","$37,000",Centre for Effective Altruism,General support for Generation Pledge
2020-12-31,SFF,USD,"58,000","$58,000",Center for Innovative Governance Research,General support
2021-01-04,SFP,USD,"30,000","$30,000",Alexander Gietelink Oldenziel,Formalizing notions of debate/dialogue integrate probabilistic and logical reasoning using linear logic
2021-01-04,SFP,USD,"30,000","$30,000",Andrew Jillions,Writing and event planning on the topic of frontier technologies
2021-01-05,FP-US,USD,"247,000","$247,000",Berkeley Existential Risk Initiative,Machine learning research engineer program
2021-01-05,FP-US,USD,"26,000","$26,000",RadicalxChange Foundation,General support
2021-01-05,FP-US,USD,"15,000","$15,000",Rethink Charity,Effective Thesis
2021-01-12,FP-US,USD,"799,000","$799,000",Center for Human-Compatible AI,General support
2021-01-12,FP-US,USD,"347,000","$347,000",Future of Life Institute,General support
2021-01-12,FP-US,USD,"209,000","$209,000",Social and Environmental Entrepreneurs,General support for Global Catastrophic Risk Institute
2021-01-19,FP-US,USD,"30,000","$30,000",Future of Humanity Institute,General support for Future of Humanity Institute: Research Scholars Programme
2021-01-19,FP-US,USD,"69,000","$69,000",Stanford University,For Stanford Existential Risks Initiative
2021-01-27,SFF,USD,"21,000","$21,000",Centre for Effective Altruism,General support for Center for Applied Utilitarianism
2021-02-09,SFP,USD,"2,159","$2,159",Toby McMaster,"Furthering skills in R and Python, with a view toward epidemiological and bioinformatic datasets"
2021-02-17,FP-US,USD,"10,000","$10,000","Children, Families, and Communities",General support for Metamorphic Group LLC
2021-03-03,SFF,USD,"212,000","$212,000",Center for Applied Rationality,General support
2021-03-12,FP-US,USD,"20,000","$20,000",Center for Human-Compatible AI,General support
2021-03-16,direct,USD,"10,000","$10,000",Alex Zhu,Regranting program
2021-03-24,FP-US,USD,"200,000","$200,000",Future of Life Institute,Policy research and advocacy on AI and other emerging technological risk
2021-03-24,FP-US,USD,"100,000","$100,000",Idea Foundry,General support for Po-Shen Loh's work on NOVID platform
2021-03-24,FP-US,USD,"78,000","$78,000",Topos Institute,"Conditional support, as administered by Owen Cotton-Barratt"
2021-03-31,FP-US,USD,"100,000","$100,000",Founders Pledge,General support
2021-04-26,FP-UK,USD,"40,000","$40,000",All-Party Parliamentary Group for Future Generations,General support
2021-05-27,FP-US,USD,"100,000","$100,000",Bulletin of the Atomic Scientists,General support
2021-05-28,direct,ETH,1.00,"$2,549",Gemini.after,Donation jaan -> AFTER (jared brown)
2021-05-28,direct,ETH,79.00,"$201,360",Gemini.after,Donation jaan -> AFTER (jared brown)
2021-06-18,SFP,USD,"22,000","$22,000",Laura Vaughan,Systematizing a biomechanical framework around micronutrition and chronic illness
2021-06-22,SFP,USD,"119,462","$119,462",Haydn Belfield,Earning a DPhil in International Relations from Oxford University focussed on arms control
2021-06-30,direct,USD,"80,000","$80,000",SFF2021H1 participants,Participant honorariums
2021-07-01,SFP,USD,"38,009","$38,009",Fırat Akova,Understanding the implications of artificial sentience for the long-term future
2021-07-01,SFP,USD,"19,380","$19,380",Philip Blagoveschensky,Self-studying and trying to extend Vanessa Kosoy’s Learning-Theoretic AI Alignment research
2021-07-15,FP-US,USD,"253,000","$253,000",Berkeley Existential Risk Initiative,In support for the work of Robert Trager and Joslyn Barnhart on AI governance in collaboration with GovAI
2021-07-15,FP-US,USD,"478,000","$478,000",Berkeley Existential Risk Initiative,General support for FHI – the Future of Humanity Institute at Oxford University – https://existence.org/
2021-07-15,FP-US,USD,"37,000","$37,000",Berkeley Existential Risk Initiative,General support for CSER – the Centre for the Study of Existential Risk at Cambridge University – https://existence.org/
2021-07-15,Slimrock,USD,"40,000","$40,000",Shanghai Institute for Science of Science,Technical Consulting Contract 2021-06-15
2021-07-16,FP-UK,USD,"61,000","$61,000",Centre for Enabling EA Learning and Research,General support
2021-07-16,FP-US,USD,"333,000","$333,000",Berkeley Existential Risk Initiative,General support for SERI – the Stanford Existential Risks Initiative – https://existence.org/
2021-07-16,FP-US,USD,"11,000","$11,000",Carnegie Mellon University,Laboratory for Social Minds
2021-07-16,FP-US,USD,"137,000","$137,000",Center for Innovative Governance Research,General support
2021-07-16,FP-US,USD,"13,000","$13,000",Convergence Analysis,General support for Convergence
2021-07-16,FP-US,USD,"103,000","$103,000",Convergence Analysis,AI Clarity
2021-07-16,FP-US,USD,"147,000","$147,000",Idea Foundry,General support for Expii
2021-07-16,FP-US,USD,"175,000","$175,000",Players Philanthropy Fund,General support for Alliance to Feed the Earth in Disasters (https://Alliance to Feed the Earth in Disasters.info/)
2021-07-16,FP-US,USD,"48,000","$48,000",Social and Environmental Entrepreneurs,General support for Global Catastrophic Risk Institute
2021-07-21,direct,USD,"121,000","$121,000",Alex Zhu,Regranting program
2021-07-22,FP-US,USD,"100,000","$100,000",Founders Pledge,General support
2021-07-23,FP-US,USD,"221,000","$221,000",Machine Intelligence Research Institute,AI Impacts
2021-07-25,SFP,USD,"10,000","$10,000",Logan Riggs Smith,Learning mathematics for infra-bayesian research
2021-07-28,FP-UK,USD,"85,500","$85,500",All-Party Parliamentary Group for Future Generations,General support
2021-07-28,FP-UK,USD,"995,000","$995,000",Centre for Effective Altruism,General support for Long-Term Future Fund (EA Funds)
2021-07-28,FP-UK,USD,"1,013,000","$1,013,000",Centre for Long-Term Resilience / Alpenglow,General support
2021-07-28,FP-US,USD,"1,055,000","$1,055,000",Center for Applied Rationality,LessWrong
2021-07-28,FP-US,USD,"1,207,000","$1,207,000",Center for Applied Rationality,General support
2021-07-28,FP-US,USD,"291,000","$291,000",Generation Pledge,General support
2021-07-28,FP-US,USD,"200,000","$200,000",Rethink Charity,AI Safety Support
2021-07-28,FP-US,USD,"102,000","$102,000",Social Good Fund,General support for Viento
2021-08-02,Solenum,GBP,"100,000","$139,092",University of Cambridge – Gift Registry,Solenum – CSER donation
2021-08-15,FP-US,USD,"127,000","$127,000",Moonlight Institute,General support
2021-08-20,FP-US,USD,"147,000","$147,000",New Science Research,General support
2021-08-23,FP-US,USD,"265,000","$265,000",Legal Priorities Project,General support
2021-09-03,Solenum,EUR,"10,000","$11,888",Eesti Füüsika Selts,Füüsikaõppe arendamine
2021-09-09,FP-US,USD,"880,000","$880,000",David Krueger's Research Group at University of Cambridge,General support
2021-09-09,FP-US,USD,"20,000","$20,000",Midaat,General support
2021-09-10,FP-UK,USD,"145,000","$145,000",Centre for the Study of Existential Risk,General support
2021-09-16,SFP,USD,"35,700","$35,700",Nathaniel Sebastian Cooke,Researching how knowledge of deep history could contribute to decision-making for robustly good longtermist outcomes
2021-09-24,FP-US,USD,"73,000","$73,000",Topos Institute,"Conditional support, as administered by Owen Cotton-Barratt"
2021-09-30,FP-US,USD,"898,000","$898,000",Center for Human-Compatible AI,Unrestricted gift for general support for the work of Dr. Andrew Critch
2021-10-15,FP-US,USD,"100,000","$100,000",Norn Group,Impetus grants
2021-10-27,direct,ETH,9.50,"$39,090",Torproject.eth,Donation to TOR project
2021-11-08,SFF,USD,"23,000","$23,000",Future of Life Institute,General support
2021-11-11,direct,USD,"20,000","$20,000",Alex Zhu,Regranting program
2021-11-12,FP-US,USD,"1,330,000","$1,330,000",Redwood Research,General support
2021-11-30,direct,USD,"10,300","$10,300",Alex Zhu,Regranting program
2021-12-02,FP-US,USD,"450,000","$450,000",Topos Institute,General support
2021-12-03,FP-US,USD,"248,000","$248,000",Berkeley Existential Risk Initiative,General support for the BERI-CHAI Collaboration
2021-12-03,FP-US,USD,"100,000","$100,000",Founders Pledge,General support
2021-12-03,FP-US,USD,"130,000","$130,000",Rethink Charity,For AI Safety Support for general support for AI Safety Camp
2021-12-05,Solenum,EUR,"1,856","$2,097",Solenum (costs),M&G
2021-12-08,FP-US,USD,"699,000","$699,000",Centre for Effective Altruism,General support for EA Infrastructure Fund
2021-12-08,FP-US,USD,"591,000","$591,000",Centre for Effective Altruism,General support for Centre for the Governance of AI
2021-12-08,FP-US,USD,"1,417,000","$1,417,000",Centre for Effective Altruism,General support for Long-Term Future Fund
2021-12-13,direct,GBP,"15,000","$19,868",SFF2021H2 participants,Participant honorariums
2021-12-13,direct,USD,"70,000","$70,000",SFF2021H2 participants,Participant honorariums
2021-12-16,FP-US,USD,"100,000","$100,000",Players Philanthropy Fund,General support for Alliance to Feed the Earth in Disasters
2021-12-16,FP-US,USD,"879,000","$879,000",The Community Foundation Serving Boulder County,General support for Alliance to Feed the Earth in Disasters
2021-12-22,BSF,USD,"16,680","$16,680",BERI (costs),Closing out BSF
2021-12-23,FP-US,USD,"885,000","$885,000",Centre for Long-Term Resilience / Alpenglow,To work with academics to develop policy ideas to help boost resilience to extreme risks
2021-12-23,FP-US,USD,"83,000","$83,000",Convergence Analysis,General support for Modeling Cooperation
2021-12-23,FP-US,USD,"34,000","$34,000",Convergence Analysis,General support for Research on AI and International Relations
2021-12-23,FP-US,USD,"100,000","$100,000",Founders Pledge – Patient Philanthropy Fund,General support
2021-12-23,FP-US,USD,"500,000","$500,000",New Science Research,General support
2021-12-23,FP-US,USD,"542,000","$542,000",Ought,General support
2021-12-24,FP-US,USD,"485,000","$485,000",Foresight Institute,General support for AI Objectives Institute
2021-12-24,FP-US,USD,"115,000","$115,000",Mercatus Center,General support for Emergent Ventures India
2021-12-29,direct,USD,"80,000","$80,000",Private individual in xrisk community,Gift
2021-12-30,FP-US,USD,"380,000","$380,000",Center for Applied Rationality,General support for Lightcone Infrastructure
2022-01-06,FP-US,USD,"1,218,000","$1,218,000",Effective Altruism Foundation,General support for Center on Long-Term Risk
2022-01-18,direct,USD,"50,100","$50,100",Alex Zhu,Regranting program
2022-01-20,FP-US,USD,"295,000","$295,000",Center for Mindful Learning,General support for OAK (Organization for Awakening and Kindness)
2022-01-20,FP-US,USD,"103,000","$103,000",European Biostasis Foundation,General support
2022-01-24,SFP,USD,"15,750","$15,750",Josh Jacobson,Thoroughly researching the taxability of grants to individuals and sharing those findings
2022-02-04,Solenum,EUR,"10,000","$11,449",Tartu Ülikooli Sihtasutus,TÜ teaduskooli matemaatika olümpiaadid ja õpe
2022-02-28,Solenum,EUR,"200,000","$223,877","International Charitable Foundation ""Come Back Alive""",Charitable donation to Ukrainian military
2022-02-28,Solenum,EUR,"150,000","$167,908",MTÜ Eesti Pagulasabi,Ukraina heaks!
2022-02-28,Solenum,EUR,"150,000","$167,908",MTÜ Mondo,Ukraina heaks!
2022-02-28,Solenum,EUR,"500,000","$559,693",National Bank of Ukraine,For crediting account 47330992708
2022-03-01,SFF-spec,USD,"80,000","$80,000",Foresight Institute,General support
2022-03-01,SFF-spec,USD,"340,000","$340,000",Players Philanthropy Fund,General support for Language Model Safety Fund
2022-03-01,SFP,USD,"200,000","$200,000",Effective Altruism Foundation,Regranted to CLR when Paul Knott returned the money
2022-03-08,SFF-spec,USD,"25,000","$25,000",1Day Sooner,General support
2022-03-08,SFF-spec,USD,"100,000","$100,000",University of Louisville Foundation,General support for Dr. Roman Yampolskiy's Research Group at UofL (Cybersecurity Lab)
2022-03-09,SFF-spec,USD,"20,000","$20,000",Nine Muses Foundation,General support for Effective Institutions Project
2022-03-09,SFF-spec,USD,"20,000","$20,000",Nine Muses Foundation,General support for Effective Institutions Project
2022-03-09,SFF-spec,USD,"150,000","$150,000",Nine Muses Foundation,General support for Effective Institutions Project
2022-03-10,SFF-spec,USD,"50,000","$50,000",Topos Institute,General support
2022-03-17,FP-US,USD,"500,000","$500,000",Edward Charles Foundation,Starlink Initiative
2022-03-17,SFF-spec,USD,"20,000","$20,000",Cave Exploration Society,General support
2022-03-23,SFF-spec,USD,"110,000","$110,000",Rethink Charity,General support for PARPA
2022-03-24,FP-UK,USD,"85,500","$85,500",All-Party Parliamentary Group for Future Generations,General support
2022-03-29,direct,USD,"27,700","$27,700",Alex Zhu,Regranting program
2022-03-30,SFF-spec,USD,"250,000","$250,000",Median Foundation,General support for Silent Cry
2022-04-05,SFF-spec,USD,"30,000","$30,000",Maine School of Science and Mathematics Foundation,General support
2022-04-08,SFF-spec,USD,"57,000","$57,000",Mathematics Foundation of America,General support
2022-04-11,SFF-spec,USD,"10,000","$10,000",The Art of Problem Solving,General support
2022-04-11,SFF-spec,USD,"30,000","$30,000",University of Oregon Foundation,General support for Eugene Math Circle
2022-04-19,SFF-spec,USD,"13,000","$13,000",Summer Science Program,General support
2022-05-02,SFF-spec,USD,"30,000","$30,000",AddisCoder,General support
2022-05-25,SFF-spec,USD,"180,000","$180,000",Second Foundation,General support
2022-06-02,direct,USD,"120,000","$120,000",SFF2022H1 participants,Participant honorariums
2022-06-13,direct,USD,"61,305","$61,305",Alex Zhu,Regranting program
2022-06-16,FP-US,USD,"244,000","$244,000",Carnegie Mellon University,General support for Laboratory for Social Minds
2022-06-16,FP-US,USD,"70,000","$70,000",Generation Pledge,General support
2022-06-16,FP-US,USD,"75,000","$75,000",Goodly Institute,General support
2022-06-16,FP-US,USD,"250,000","$250,000",Median Group,General support
2022-06-16,FP-US,USD,"1,274,000","$1,274,000",Redwood Research,General support
2022-06-16,FP-US,USD,"150,000","$150,000",Rethink Priorities,General support
2022-06-16,FP-US,USD,"50,000","$50,000",Sentience Institute,General support
2022-06-16,FP-US,USD,"347,000","$347,000",Topos Institute,General support
2022-06-17,FP-US,USD,"100,000","$100,000",Founders Pledge,General support
2022-06-20,direct,USD,"20,000","$20,000",Alex Zhu,Regranting program
2022-06-23,FP-US,USD,"38,000","$38,000",Association for the Advancement of Artificial Intelligence,General support for AIES 2022 organizers
2022-06-23,FP-US,USD,"261,000","$261,000",Center for Innovative Governance Research,General support for the Charter Cities Institute
2022-06-23,FP-US,USD,"381,000","$381,000",Centre for Effective Altruism,General support for Simon Institute for Longterm Governance
2022-06-23,FP-US,USD,"13,000","$13,000",DBF Mind First Foundation,General support for RADVAC
2022-06-23,FP-US,USD,"100,000","$100,000",Earth Law Center,General support
2022-06-23,FP-US,USD,"70,000","$70,000",New Venture Fund,General support for Good Science Project
2022-06-23,FP-US,USD,"242,000","$242,000",Players Philanthropy Fund,General support for Fund for Alignment Research
2022-06-23,FP-US,USD,"346,000","$346,000",University of Toronto,General support for Social Science Prediction Platform
2022-06-30,FP-US,USD,"168,000","$168,000",Convergence Analysis,General support for Consequence Foundries
2022-06-30,FP-US,USD,"15,000","$15,000",Social and Environmental Entrepreneurs,General support for Global Catastrophic Risk Institute
2022-07-07,FP-UK,USD,"44,000","$44,000",Existential Risk Observatory,General support
2022-07-07,FP-US,USD,"461,000","$461,000",Quantified Uncertainty Research Institute,General support
2022-07-07,FP-US,USD,"599,000","$599,000",Rethink Charity,General support for Nonlinear
2022-07-08,SFF-spec,USD,"13,800","$13,800",Center for Applied Rationality,General support for Lightcone Infrastructure
2022-07-08,SFF-spec,USD,"20,000","$20,000",The Modern Agriculture Foundation,General support
2022-07-14,FP-US,USD,"425,000","$425,000",1Day Sooner,General support
2022-07-14,direct,USD,"7,896","$7,896",Alex Zhu,Regranting program
2022-07-21,FP-UK,USD,"908,000","$908,000",Centre for Long-Term Resilience / Alpenglow,Alpenglow Group
2022-08-04,SFF-spec,USD,"140,000","$140,000",Center for Applied Rationality,General support for Rationality Meetups
2022-08-12,SFF-spec,USD,"10,000","$10,000",Number Champions,General support
2022-08-18,FP-US,USD,"400,000","$400,000",Center for Applied Rationality,General support for Lightcone Infrastructure
2022-08-19,SFF-spec,USD,"50,000","$50,000",The Pragmatist Foundation,General support for Pronatalist.org
2022-08-19,direct,USD,"11,000","$11,000",Alex Zhu,Regranting program
2022-08-22,SFF-spec,USD,"50,000","$50,000",The Center for Election Science,General support
2022-08-24,Solenum,GBP,"100,000","$118,121",University of Cambridge – Gift Registry,Solenum – CSER donation
2022-08-29,direct,CHF,"50,000","$51,635",Future of Life Institute Europe,Donation
2022-09-02,SFF-spec,USD,"13,645","$13,645",Berkeley Existential Risk Initiative,General support for Oxford China Policy Lab
2022-09-15,SFF-spec,USD,"50,000","$50,000",1Day Sooner,General support
2022-09-21,SFF-spec,USD,"10,000","$10,000",American Online Giving Foundation,"General support for MISE Foundation, Ghana"
2022-10-27,FP-US,USD,"289,000","$289,000",Convergent Research,To conduct scientific roadmapping towards focused research organizations that have the potential to reduce existential risks to humanity
2022-10-31,SFF-spec,USD,"50,000","$50,000",Players Philanthropy Fund,General support for Centre for Exploratory Altruism Research
2022-11-04,FP-UK,USD,"425,000","$425,000",Epistea Z.S.,General support for Alignment in Complex Systems research group
2022-11-07,Solenum,EUR,"50,000","$49,811",Tartu Ülikool,THI palgafond
2022-11-07,Solenum,EUR,"10,000","$9,962",Tartu Ülikooli Sihtasutus,TÜ teaduskooli matemaatika olümpiaadid ja õpe
2022-11-09,direct,USD,"26,300","$26,300",Alex Zhu,Regranting program
2022-11-18,SFP,USD,"31,388","$31,388",Cooperation for Humanity Retreat,Costs associated with the Cooperation for Humanity Retreat 10/23-10/30/2022
2022-11-22,FP-US,USD,"343,000","$343,000",Manifold for Charity,General support for Manifold Markets
2022-12-05,Solenum,EUR,"1,923","$2,028",Solenum (costs),M&G
2022-12-06,FP-US,USD,"83,000","$83,000",Convergence Analysis,General support for Modeling Cooperation
2022-12-06,FP-US,USD,"546,000","$546,000",Machine Intelligence Research Institute,General support for AI Impacts
2022-12-06,FP-US,USD,"653,000","$653,000",Topos Institute,General support
2022-12-08,FP-US,USD,"150,000","$150,000",Berkeley Existential Risk Initiative,General support for BERI-ALL Collaboration
2022-12-08,FP-US,USD,"168,000","$168,000",Berkeley Existential Risk Initiative,General support for BERI-CHAI collaboration
2022-12-08,FP-US,USD,"11,000","$11,000",Center for Applied Rationality,General support for Elizabeth Van Nostrand c/o Lightcone
2022-12-08,FP-US,USD,"600,000","$600,000",Center for Applied Rationality,General support for Lightcone Infrastructure
2022-12-08,FP-US,USD,"450,000","$450,000",Center for Applied Rationality,General support
2022-12-08,FP-US,USD,"115,000","$115,000",Legal Priorities Project,General support
2022-12-08,FP-US,USD,"200,000","$200,000",PARPA,General support
2022-12-08,FP-US,USD,"387,000","$387,000",The Center for Election Science,General support
2022-12-09,FP-US,USD,"84,000","$84,000",The Future Society,General support
2022-12-13,FP-US,USD,"100,000","$100,000",Players Philanthropy Fund,General support for Scholarship Workshop
2022-12-15,FP-UK,USD,"224,000","$224,000",Centre for Enabling EA Learning and Research,General support
2022-12-16,direct,USD,"15,275","$15,275",Alex Zhu,Regranting program
2022-12-16,direct,USD,"210,000","$210,000",SFF2022H2 participants,Participant honorariums
2022-12-20,FP-US,USD,"2,179,000","$2,179,000",Alignment Research Center,General support
2022-12-20,FP-US,USD,"196,000","$196,000",Constructive Dialogue Institute,General support
2022-12-20,FP-US,USD,"100,000","$100,000",Founders Pledge,General support
2022-12-22,FP-US,USD,"524,000","$524,000",FAR AI,General support
2022-12-22,FP-US,USD,"50,000","$50,000",The Society Library,General support
2022-12-22,FP-US,USD,"309,000","$309,000",University of Wisconsin Foundation,General support for University of Wisconsin – Madison
2022-12-22,Slimrock,USD,"1,100,000","$1,100,000",Beijing Mouyuan Consulting,CLTP General Services Agreement
2022-12-28,FP-US,USD,"68,000","$68,000",Unite America Institute,General support
2022-12-28,SFF,USD,"158,928","$158,928",Wichita State University Foundation,General support
2022-12-29,FP-UK,USD,"200,000","$200,000",Cooperative AI Foundation,General support
2022-12-29,FP-US,USD,"345,000","$345,000",Whylome,General support
2023-01-06,SFF-spec,USD,"120,000","$120,000",Foresight Institute,General support for AI Objectives Institute
2023-01-06,SFF-spec,USD,"20,000","$20,000",Foresight Institute,General support for AI Objectives Institute
2023-01-10,SFF-spec,USD,"401,000","$401,000",Hansjorg Wyss Institute for Biologically Inspired Engineering,General support for Church Lab Meiosis Team
2023-01-18,SFF-spec,USD,"115,000","$115,000",University of Louisville Foundation,General support for Dr. Roman Yampolskiy's Research Group at UofL (Cybersecurity Lab)
2023-01-19,FP-US,USD,"432,000","$432,000",Pragmatist Foundation,General support for the Pronatalist.org Initiative
2023-01-25,SFF-spec,USD,"20,000","$20,000",Sentience Institute,General support
2023-01-26,FP-UK,USD,"2,800,000","$2,800,000",Cooperative AI Foundation,General support
2023-01-26,SFF-spec,USD,"90,000","$90,000",1Day Sooner,General support
2023-01-26,SFF-spec,USD,"155,000","$155,000",Center for Strategic and International Studies,General support for AI Governance Project
2023-01-31,SFF-spec,USD,"69,000","$69,000",Topos Institute,General support
2023-02-01,SFF-spec,USD,"200,000","$200,000",Murdoch Children's Research Institute,General support
2023-02-02,FP-US,USD,"150,000","$150,000",Berkeley Existential Risk Initiative,General support for BERI-CHAI Collaboration
2023-02-02,FP-US,USD,"1,000,000","$1,000,000",Carnegie Mellon University,Foundations of Cooperative AI Lab
2023-02-03,SFF-spec,USD,"30,000","$30,000",Far Away Projects,General support for Alive-in
2023-02-08,SFF-spec,USD,"54,000","$54,000",Hack Club,General support for Biomedical Advancement and Research Institute
2023-02-16,FP-US,USD,"427,000","$427,000",Alliance to Feed the Earth in Disasters,General support
2023-02-23,FP-US,USD,"40,000","$40,000",Johns Hopkins University,General support for Milan Griffes for Tuition and BSPH Health Clinic Fees
2023-02-23,SFF-spec,USD,"100,000","$100,000",Convergent Research,General support
2023-02-23,SFF-spec,USD,"75,000","$75,000",Institute for Advanced Consciousness Studies,General support
2023-02-28,SFF-spec,USD,"315,000","$315,000",Effective Ventures Foundation,General support for Centre for the Governance of AI
2023-03-07,direct,USD,"33,780","$33,780",Alex Zhu,Regranting program
2023-03-14,SFF-spec,USD,"200,000","$200,000",FAR AI,"General support for “FAR Labs”, at “FAR AI, Inc.”"
2023-03-16,SFF-spec,USD,"150,000","$150,000",AI Safety Support,General support for AI Safety Camp
2023-03-21,SFF-spec,USD,"50,000","$50,000",American Foundation for the University of British Columbia,General support for the work of Peter Reiner
2023-03-23,FP-US,USD,"170,000","$170,000",Players Philanthropy Fund,General support for Technical Alignment Impossibility Proofs
2023-03-30,FP-UK,USD,"214,000","$214,000",SaferAI,General support
2023-04-05,SFF-spec,USD,"80,000","$80,000",Effective Thesis Z.S.,General support
2023-04-07,SFF-spec,USD,"170,000","$170,000",FAR AI,General support
2023-04-07,SFF-spec,USD,"180,000","$180,000",FAR AI,General support for FAR Labs
2023-04-13,FP-UK,USD,"200,000","$200,000",Effective Ventures Foundation UK,General support for Longview Philanthropy
2023-04-13,SFF,USD,"88,500","$88,500",Ashgro,General support
2023-04-20,direct,EUR,"100,000","$109,617",Private individual in xrisk community,Gift
2023-05-04,FP-UK,USD,"400,000","$400,000",Association for Long Term Existence and Resilience,General support
2023-05-15,direct,USD,"30,000","$30,000",SFF2023H1 participants,Participant honorariums
2023-05-16,SFC,USD,"7,725","$7,725",SFC (costs),Open Agency
2023-05-23,SFF,USD,"200,000","$200,000",Effective Altruism Geneva,General support for PIBBSS
2023-05-25,SFF,USD,"775,000","$775,000",Berkeley Existential Risk Initiative,General support for SERI MATS – Stanford Existential Risks Initiative ML Alignment Theory Scholars Program
2023-05-25,SFF,USD,"50,000","$50,000",Berkeley Existential Risk Initiative,General support for SERI MATS – Stanford Existential Risks Initiative ML Alignment Theory Scholars Program
2023-05-25,SFF,USD,"50,000","$50,000",Berkeley Existential Risk Initiative,General support for SERI MATS – Stanford Existential Risks Initiative ML Alignment Theory Scholars Program
2023-05-25,SFF,USD,"10,000","$10,000",Berkeley Existential Risk Initiative,General support for SERI MATS – Stanford Existential Risks Initiative ML Alignment Theory Scholars Program
2023-05-30,FP-US,USD,"100,000","$100,000",Social and Environmental Entrepreneurs,General support for Global Shield
2023-06-08,FP-UK,USD,"100,000","$100,000",Founders Pledge,General support
2023-06-08,FP-US,USD,"1,159,000","$1,159,000",Alliance to Feed the Earth in Disasters,General support
2023-06-08,FP-US,USD,"1,733,000","$1,733,000",Center for Applied Rationality,General support for Lightcone Infrastructure
2023-06-08,SFF,USD,"275,000","$275,000",Effective Ventures Foundation,General support for Wytham Abbey
2023-06-14,SFF,USD,"50,000","$50,000",Players Philanthropy Fund,General support for EURAIO (The European Responsible Artificial Intelligence Office)
2023-06-15,FP-UK,USD,"1,327,000","$1,327,000",Center on Long-Term Risk,General support
2023-06-15,FP-US,USD,"1,846,000","$1,846,000",Alignment Research Center,General support for ARC Evals Team
2023-06-15,FP-US,USD,"522,000","$522,000",Berkeley Existential Risk Initiative,General support for BERI-CLTC Collaboration
2023-06-15,FP-US,USD,"683,000","$683,000",FAR AI,General support for FAR Labs
2023-06-15,FP-US,USD,"352,000","$352,000",Goodly Institute,General support for AI Objectives Institute
2023-06-15,FP-US,USD,"304,000","$304,000",Institute for Advanced Consciousness Studies,General support
2023-06-15,FP-US,USD,"1,241,000","$1,241,000",Manifold for Charity,General support for Manifold Markets
2023-06-15,FP-US,USD,"587,000","$587,000",Players Philanthropy Fund,General support for Arkose
2023-06-15,FP-US,USD,"196,000","$196,000",Players Philanthropy Fund,General support for Project Solve
2023-06-15,FP-US,USD,"598,000","$598,000",Redwood Research,General support
2023-06-17,direct,ETH,0.30,$522,Private individual in xrisk community,Test gift
2023-06-20,SFF,USD,"27,796","$27,796",The Good Things Fund,General support
2023-06-20,direct,USD,"62,277","$62,277",Alex Zhu,Regranting program
2023-06-22,FP-UK,USD,"260,000","$260,000",Epistea Z.S.,General support for PIBBSS
2023-06-22,FP-US,USD,"126,000","$126,000",Basis Research Institute,General support
2023-06-22,FP-US,USD,"315,000","$315,000",Center for Innovative Governance Research,General support for Charter Cities Institute
2023-06-23,SFC,USD,"50,000","$50,000",Blokhaus,Grant funding for general support
2023-06-28,SFF,USD,"490,000","$490,000",Rethink Priorities,General support for Apollo Research
2023-06-29,FP-US,USD,"136,000","$136,000",Center for Strategic and International Studies,General support for AI Governance Project
2023-06-29,FP-US,USD,"172,000","$172,000",Fp21,General support
2023-06-29,FP-US,USD,"565,000","$565,000",Open Collective Foundation,General support for the Unjournal
2023-06-29,direct,USD,"74,770","$74,770",Alex Zhu,Regranting program
2023-06-29,direct,ETH,0.30,$556,Private individual in xrisk community,Test gift
2023-06-29,direct,ETH,49.40,"$91,503",Private individual in xrisk community,Gift
